19:16:57,609 |-INFO in ch.qos.logback.core.joran.spi.ConfigurationWatchList@14899482 - URL [jar:file:/usr/local/games/mallBusi/account-sevice-0.0.1-SNAPSHOT.jar!/BOOT-INF/lib/spring-boot-1.5.2.RELEASE.jar!/org/springframework/boot/logging/logback/base.xml] is not of type file
19:16:57,613 |-INFO in ch.qos.logback.core.joran.util.ConfigurationWatchListUtil@21588809 - Adding [jar:file:/usr/local/games/mallBusi/account-sevice-0.0.1-SNAPSHOT.jar!/BOOT-INF/lib/spring-boot-1.5.2.RELEASE.jar!/org/springframework/boot/logging/logback/defaults.xml] to configuration watch list.
19:16:57,613 |-INFO in ch.qos.logback.core.joran.spi.ConfigurationWatchList@14899482 - URL [jar:file:/usr/local/games/mallBusi/account-sevice-0.0.1-SNAPSHOT.jar!/BOOT-INF/lib/spring-boot-1.5.2.RELEASE.jar!/org/springframework/boot/logging/logback/defaults.xml] is not of type file
19:16:57,618 |-INFO in ch.qos.logback.core.joran.action.ConversionRuleAction - registering conversion word clr with class [org.springframework.boot.logging.logback.ColorConverter]
19:16:57,618 |-INFO in ch.qos.logback.core.joran.action.ConversionRuleAction - registering conversion word wex with class [org.springframework.boot.logging.logback.WhitespaceThrowableProxyConverter]
19:16:57,618 |-INFO in ch.qos.logback.core.joran.action.ConversionRuleAction - registering conversion word wEx with class [org.springframework.boot.logging.logback.ExtendedWhitespaceThrowableProxyConverter]
19:16:57,619 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [org.springframework.boot.logging.logback.LevelRemappingAppender]
19:16:57,619 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [DEBUG_LEVEL_REMAPPER]
19:16:57,619 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.catalina.startup.DigesterFactory] to ERROR
19:16:57,619 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2aae9190 - Propagating ERROR level on Logger[org.apache.catalina.startup.DigesterFactory] onto the JUL framework
19:16:57,620 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.catalina.util.LifecycleBase] to ERROR
19:16:57,620 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2aae9190 - Propagating ERROR level on Logger[org.apache.catalina.util.LifecycleBase] onto the JUL framework
19:16:57,620 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.coyote.http11.Http11NioProtocol] to WARN
19:16:57,620 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2aae9190 - Propagating WARN level on Logger[org.apache.coyote.http11.Http11NioProtocol] onto the JUL framework
19:16:57,621 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.sshd.common.util.SecurityUtils] to WARN
19:16:57,621 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2aae9190 - Propagating WARN level on Logger[org.apache.sshd.common.util.SecurityUtils] onto the JUL framework
19:16:57,621 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.tomcat.util.net.NioSelectorPool] to WARN
19:16:57,621 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2aae9190 - Propagating WARN level on Logger[org.apache.tomcat.util.net.NioSelectorPool] onto the JUL framework
19:16:57,621 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.crsh.plugin] to WARN
19:16:57,621 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2aae9190 - Propagating WARN level on Logger[org.crsh.plugin] onto the JUL framework
19:16:57,621 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.crsh.ssh] to WARN
19:16:57,621 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2aae9190 - Propagating WARN level on Logger[org.crsh.ssh] onto the JUL framework
19:16:57,621 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.eclipse.jetty.util.component.AbstractLifeCycle] to ERROR
19:16:57,621 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2aae9190 - Propagating ERROR level on Logger[org.eclipse.jetty.util.component.AbstractLifeCycle] onto the JUL framework
19:16:57,621 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.hibernate.validator.internal.util.Version] to WARN
19:16:57,621 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2aae9190 - Propagating WARN level on Logger[org.hibernate.validator.internal.util.Version] onto the JUL framework
19:16:57,621 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.springframework.boot.actuate.autoconfigure.CrshAutoConfiguration] to WARN
19:16:57,621 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2aae9190 - Propagating WARN level on Logger[org.springframework.boot.actuate.autoconfigure.CrshAutoConfiguration] onto the JUL framework
19:16:57,621 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.springframework.boot.actuate.endpoint.jmx] to false
